,,,Time,Voltage,
,,,-00.000120400000,   4.20560,
,,,-00.000120000000,   4.20720,
,,,-00.000119600000,   4.20800,
,,,-00.000119200000,   4.20560,
,,,-00.000118800000,   4.21200,
,,,-00.000118400000,   4.21520,
,,,-00.000118000000,   4.21760,
,,,-00.000117600000,   4.21280,
,,,-00.000117200000,   4.21280,
,,,-00.000116800000,   4.21360,
,,,-00.000116400000,   4.21760,
,,,-00.000116000000,   4.21520,
,,,-00.000115600000,   4.21600,
,,,-00.000115200000,   4.20720,
,,,-00.000114800000,   4.21680,
,,,-00.000114400000,   4.21680,
,,,-00.000114000000,   4.20880,
,,,-00.000113600000,   4.21760,
,,,-00.000113200000,   4.21120,
,,,-00.000112800000,   4.20640,
,,,-00.000112400000,   4.20800,
,,,-00.000112000000,   4.20880,
,,,-00.000111600000,   4.21280,
,,,-00.000111200000,   4.22320,
,,,-00.000110800000,   4.20720,
,,,-00.000110400000,   4.22000,
,,,-00.000110000000,   4.21680,
,,,-00.000109600000,   4.21680,
,,,-00.000109200000,   4.21840,
,,,-00.000108800000,   4.21200,
,,,-00.000108400000,   4.21200,
,,,-00.000108000000,   4.21840,
,,,-00.000107600000,   4.21360,
,,,-00.000107200000,   4.20720,
,,,-00.000106800000,   4.20720,
,,,-00.000106400000,   4.21120,
,,,-00.000106000000,   4.20560,
,,,-00.000105600000,   4.20800,
,,,-00.000105200000,   4.20880,
,,,-00.000104800000,   4.20720,
,,,-00.000104400000,   4.20400,
,,,-00.000104000000,   4.20320,
,,,-00.000103600000,   4.20240,
,,,-00.000103200000,   4.20640,
,,,-00.000102800000,   4.19760,
,,,-00.000102400000,   4.19760,
,,,-00.000102000000,   4.20480,
,,,-00.000101600000,   4.20560,
,,,-00.000101200000,   4.20400,
,,,-00.000100800000,   4.20240,
,,,-00.000100400000,   4.20960,
,,,-00.000100000000,   4.21840,
,,,-00.000099600000,   4.21200,
,,,-00.000099200000,   4.20080,
,,,-00.000098800000,   4.19760,
,,,-00.000098400000,   4.20160,
,,,-00.000098000000,   4.20320,
,,,-00.000097600000,   4.20560,
,,,-00.000097200000,   4.20240,
,,,-00.000096800000,   4.21040,
,,,-00.000096400000,   4.21200,
,,,-00.000096000000,   4.20800,
,,,-00.000095600000,   4.20080,
,,,-00.000095200000,   4.20960,
,,,-00.000094800000,   4.21120,
,,,-00.000094400000,   4.20240,
,,,-00.000094000000,   4.20160,
,,,-00.000093600000,   4.20560,
,,,-00.000093200000,   4.20320,
,,,-00.000092800000,   4.20480,
,,,-00.000092400000,   4.20240,
,,,-00.000092000000,   4.21040,
,,,-00.000091600000,   4.20320,
,,,-00.000091200000,   4.20960,
,,,-00.000090800000,   4.20960,
,,,-00.000090400000,   4.16880,
,,,-00.000090000000,   4.19760,
,,,-00.000089600000,   4.20000,
,,,-00.000089200000,   4.19840,
,,,-00.000088800000,   4.19520,
,,,-00.000088400000,   4.20240,
,,,-00.000088000000,   4.19840,
,,,-00.000087600000,   4.20320,
,,,-00.000087200000,   4.19840,
,,,-00.000086800000,   4.20480,
,,,-00.000086400000,   4.21360,
,,,-00.000086000000,   4.21360,
,,,-00.000085600000,   4.21520,
,,,-00.000085200000,   4.21680,
,,,-00.000084800000,   4.21360,
,,,-00.000084400000,   4.20400,
,,,-00.000084000000,   4.20400,
,,,-00.000083600000,   4.20640,
,,,-00.000083200000,   4.20560,
,,,-00.000082800000,   4.21200,
,,,-00.000082400000,   4.20800,
,,,-00.000082000000,   4.20960,
,,,-00.000081600000,   4.21360,
,,,-00.000081200000,   4.21520,
,,,-00.000080800000,   4.21760,
,,,-00.000080400000,   4.21840,
,,,-00.000080000000,   4.20880,
,,,-00.000079600000,   4.21360,
,,,-00.000079200000,   4.21600,
,,,-00.000078800000,   4.21440,
,,,-00.000078400000,   4.21120,
